,product_name,category,sub_category,price,purchased,del_rate,shop_name,location,shop_rate,shop_items,fellows,sold_for_1year,recommended,cust_satisfied,product_rate,price_rate,delivery_rate,service_rate
0,Kinohimitsu★BEST SELLER★Kinohimitsu Collagen Diamond 32s+2s *Firm and moisture-plumped skin in a bottle*,Home,Food & Baby,RM 222.90,1498 , Free ~,Kinohimitsu Official Store,Malaysia,MINISHOP RATE 90%,91,"12,668","1,711",99%,90%,90%,90%,90%,90%
1,Yuka Zan Kf94 4 Ply Protective Face Mask 10S (Peach/Lavender),Home,Home & Living,RM 14.90,, RM 5.40 ~,BIG Pharmacy Official Store,Malaysia,MINISHOP RATE 100%,401,21,2,,,0%,0%,0%,0%
2,Yuka Zan Kf94 4 Ply Protective Face Mask 10S (Navy Blue/Black),Home,Home & Living,RM 14.90,, RM 5.40 ~,BIG Pharmacy Official Store,Malaysia,MINISHOP RATE 100%,401,21,3,,,0%,0%,0%,0%
3,KinohimitsuMust Try! Kinohimitsu C-UP 10 bottles *Increase Cup/ Bra Size *IMPROVED FORMULA!*,Home,Beauty & Diet,RM 80,47 , Free ~,Kinohimitsu Official Store,Malaysia,MINISHOP RATE 90%,91,"12,668",342,98%,97%,100%,100%,90%,100%
4,Dove Body Wash Care & Protect 1000Ml,Home,Beauty & Diet,RM 21.40,, RM 5.40 ~,BIG Pharmacy Official Store,Malaysia,MINISHOP RATE 100%,401,21,1,,,0%,0%,0%,0%
5,(Ready Stock) New AM Rose Flower Crystal Ice Mask + Free Bowl Set,Home,Beauty & Diet,RM 56,, Free,My Summer Store,Malaysia,MINISHOP RATE 90%,42,20,3,100%,100%,100%,100%,100%,100%
6,NANO JAPAN COUPON[RM82ea! 1+1+1 MIX UR CHOICE] 💎NANO JAPAN #1 BEST-SELLER  💎BEAUTY 💎SLIMMING 💎HEALTH,Home,Beauty & Diet,RM 246,13 , RM 2.99 ~,NANO JAPAN,Singapore,MINISHOP RATE 90%,18,"10,149",161,97%,97%,100%,100%,90%,100%
7,[New Launch] Kinohimitsu Royal Honey 500g (100% Genuine Royal Jelly),Home,Beauty & Diet,RM 49.90,, Free ~,Kinohimitsu Official Store,Malaysia,MINISHOP RATE 90%,91,"12,668",37,95%,97%,90%,100%,100%,100%
8,Grab Food RM20,Home,Deal & Entertain,RM 20,, Free,SMSBusiness2U,Malaysia,MINISHOP RATE 90%,45,526,112,95%,90%,90%,90%,90%,90%
9,Alltest Covid-19 Oral Fluid Home Test Kit (Individual) 1s,Home,Digital & Mobile,RM 7.10,, RM 5.40 ~,BIG Pharmacy Official Store,Malaysia,MINISHOP RATE 100%,401,21,4,100%,100%,100%,100%,100%,100%
10,OLD TOWN WHITE COFFEE[BUNDLE 4] OLDTOWN White Coffee 2in1 Coffee  Creamer 25g x 15sticks,Home,Food & Baby,Sold Out,, RM 3,TheBigBoxAsia,Malaysia,MINISHOP RATE 90%,712,"2,073",,,,,,,
11,OLD TOWN WHITE COFFEE[BUNDLE 4] OLDTOWN 3in1 White Milk Tea 40g x 13sticks,Home,Food & Baby,RM 57.90,, RM 3,TheBigBoxAsia,Malaysia,MINISHOP RATE 90%,712,"2,073",3,,,0%,0%,0%,0%
12,OLD TOWN WHITE COFFEE[BUNDLE 4] OLDTOWN White Coffee 3in1 Less Sugar 35g x 15sticks,Home,Food & Baby,Sold Out,, RM 3,TheBigBoxAsia,Malaysia,MINISHOP RATE 90%,712,"2,073",9,100%,100%,100%,100%,100%,100%
13,OLD TOWN WHITE COFFEEOLDTOWN Nan Yang 2in1 White Coffee O with Sugar Added 30g x 20sticks,Home,Food & Baby,RM 12.90,, RM 3,TheBigBoxAsia,Malaysia,MINISHOP RATE 90%,712,"2,073",5,100%,100%,100%,100%,100%,100%
14,[New Launch] Kinohimitsu Resvera k18 30ml x 10’s *Anti-Aging n Anti-Inflammatory*,Home,Beauty & Diet,RM 96.99,38 , Free ~,Kinohimitsu Official Store,Malaysia,MINISHOP RATE 90%,91,"12,668",32,100%,100%,100%,100%,100%,100%
